total_reward,days_survived,service_level,waste_total,stockout_total,final_cash,bankrupt,agent,train_seed,eval_seed
981.6500000000002,60,0.8656527249683144,0,106,1031.6500000000003,False,PPO,2,105
1075.6999999999998,60,0.8891752577319587,0,86,1125.7,False,PPO,2,106
1162.1000000000001,60,0.9059720457433291,0,74,1212.1000000000001,False,PPO,2,107
1065.5999999999995,60,0.9799713876967096,0,14,1115.5999999999997,False,PPO,2,108
941.1000000000001,60,0.8621134020618557,0,107,991.1,False,PPO,2,109
1033.1000000000001,60,0.8203389830508474,0,159,1083.1000000000001,False,PPO,3,100
-162.35,42,0.4077025232403719,0,446,-92.35,True,PPO,3,101
598.3000000000002,60,0.9161290322580645,16,52,648.3000000000002,False,PPO,3,102
471.24999999999983,60,0.9518900343642611,46,28,521.2499999999998,False,PPO,3,103
735.3999999999997,60,0.6920700308959835,0,299,785.3999999999999,False,PPO,3,104
774.6999999999999,60,0.8187579214195184,2,143,824.6999999999999,False,PPO,3,105
671.6000000000001,60,0.8041237113402062,8,152,721.6,False,PPO,3,106
843.8499999999997,60,0.8780177890724269,2,96,893.8499999999996,False,PPO,3,107
799.8499999999998,60,0.9542203147353362,7,32,849.8499999999999,False,PPO,3,108
553.7999999999998,60,0.7448453608247423,0,198,603.7999999999998,False,PPO,3,109
1139.9999999999998,60,0.9581920903954803,0,37,1189.9999999999998,False,PPO,4,100
1240.15,60,0.86328125,0,140,1290.1499999999999,False,PPO,4,101
171.35000000000002,60,0.9822580645161291,39,11,221.35,False,PPO,4,102
204.7,60,0.9896907216494846,68,6,254.69999999999996,False,PPO,4,103
1436.15,60,0.9382080329557158,0,60,1486.15,False,PPO,4,104
736.7000000000002,60,0.9569074778200254,12,34,786.7000000000002,False,PPO,4,105
663.2999999999997,60,0.961340206185567,16,30,713.2999999999997,False,PPO,4,106
899.0499999999996,60,0.9911054637865311,6,7,949.0499999999996,False,PPO,4,107
455.6000000000001,60,0.9799713876967096,19,14,505.6000000000001,False,PPO,4,108
544.5,60,0.9175257731958762,10,64,594.5000000000001,False,PPO,4,109
973.5000000000001,60,0.7762711864406779,0,198,1023.5000000000001,False,DQN,0,100
628.4,60,0.65234375,0,356,678.4,False,DQN,0,101
940.9500000000005,60,0.9435483870967742,0,35,990.9500000000005,False,DQN,0,102
663.0500000000001,60,0.8539518900343642,2,85,713.05,False,DQN,0,103
870.6500000000001,60,0.7188465499485067,0,273,920.6500000000001,False,DQN,0,104
849.7,60,0.8035487959442332,0,155,899.7,False,DQN,0,105
953.6,60,0.8350515463917526,0,128,1003.6,False,DQN,0,106
1042.75,60,0.8538754764930114,0,115,1092.7499999999998,False,DQN,0,107
975.3999999999997,60,0.8855507868383404,0,80,1025.3999999999996,False,DQN,0,108
801.4500000000003,60,0.7951030927835051,0,159,851.45,False,DQN,0,109
901.0500000000002,60,0.733264675592173,0,259,951.0500000000001,False,DQN,1,100
833.8500000000001,60,0.71484375,0,292,883.8500000000001,False,DQN,1,101
918.9000000000001,60,0.9339774557165862,0,41,968.9,False,DQN,1,102
752.0000000000001,60,0.9017241379310345,5,57,802.0,False,DQN,1,103
1028.8000000000002,60,0.7672502574665293,0,226,1078.8000000000002,False,DQN,1,104
908.4500000000003,60,0.830423940149626,0,136,958.4500000000002,False,DQN,1,105
982.1,60,0.8492268041237113,0,117,1032.1,False,DQN,1,106
1039.1000000000001,60,0.8571428571428571,0,112,1089.1000000000004,False,DQN,1,107
976.9,60,0.8816901408450705,0,84,1026.8999999999999,False,DQN,1,108
775.4000000000001,60,0.7701711491442543,0,188,825.4000000000001,False,DQN,1,109
1157.9499999999998,60,0.847457627118644,0,135,1207.95,False,DQN,2,100
838.2,60,0.72265625,0,284,888.2,False,DQN,2,101
885.55,60,0.9193548387096774,0,50,935.5500000000001,False,DQN,2,102
647.9999999999999,60,0.8745704467353952,12,73,698.0,False,DQN,2,103
994.7,60,0.7590113285272915,0,234,1044.7,False,DQN,2,104
914.3499999999999,60,0.8415716096324461,0,125,964.3500000000003,False,DQN,2,105
1012.8500000000001,60,0.8634020618556701,0,106,1062.8500000000001,False,DQN,2,106
979.6499999999999,60,0.8348157560355781,0,130,1029.6499999999999,False,DQN,2,107
1042.8000000000002,60,0.9213161659513591,0,55,1092.8000000000002,False,DQN,2,108
788.8500000000004,60,0.7938144329896907,0,160,838.8500000000004,False,DQN,2,109
1246.7500000000002,60,0.8552083333333333,0,139,1296.7500000000002,False,DQN,3,100
1138.1000000000001,60,0.7901234567901234,0,221,1188.1000000000001,False,DQN,3,101
826.7500000000001,60,0.9746621621621622,11,15,876.75,False,DQN,3,102
538.4000000000001,60,0.9906367041198502,32,5,588.4000000000001,False,DQN,3,103
1273.7,60,0.864693446088795,0,128,1323.7,False,DQN,3,104
1116.0999999999997,60,0.9398692810457516,0,46,1166.0999999999997,False,DQN,3,105
1269.3000000000004,60,0.9516728624535316,0,39,1319.3000000000002,False,DQN,3,106
1076.6000000000001,60,0.9753424657534246,10,18,1126.6000000000001,False,DQN,3,107
1157.0500000000004,60,0.9728260869565217,0,20,1207.0500000000002,False,DQN,3,108
883.1,60,0.8960863697705803,6,77,933.1,False,DQN,3,109
984.55,60,0.7771739130434783,0,205,1034.5499999999997,False,DQN,4,100
524.3,60,0.6049046321525886,0,435,574.3000000000001,False,DQN,4,101
870.1999999999997,60,0.9616724738675958,0,22,920.1999999999997,False,DQN,4,102
708.1999999999997,60,0.9904397705544933,18,5,758.1999999999996,False,DQN,4,103
1087.9,60,0.8447867298578199,0,131,1137.9,False,DQN,4,104
1008.6999999999998,60,0.8380024360535931,0,133,1058.6999999999998,False,DQN,4,105
983.0500000000002,60,0.858793324775353,0,110,1033.05,False,DQN,4,106
978.3000000000002,60,0.8576923076923076,0,111,1028.3000000000004,False,DQN,4,107
1057.1999999999998,60,0.8835978835978836,0,88,1107.2,False,DQN,4,108
753.8499999999999,60,0.8236111111111111,0,127,803.8499999999998,False,DQN,4,109
