#{"t_start": 1784588783.2472954, "env_id": "None"}
r,l,t
496.1,60,21.560526
895.55,60,21.585589
395.7,60,21.611401
701.85,60,21.636046
825.15,60,21.76722
529.95,60,21.797204
912.35,60,21.827131
734.55,60,21.855783
638.5,60,21.88571
195.2,60,21.914638
45.55,60,21.945729
676.0,60,21.973238
402.35,60,22.00019
582.15,60,22.028433
678.75,60,22.055421
-163.8,28,22.067889
-106.65,60,22.09324
676.45,60,22.121087
658.65,60,22.14795
964.8,60,22.178573
537.75,60,22.205841
367.15,60,22.231018
890.8,60,22.341205
-4.75,60,22.367153
795.95,60,22.394994
463.45,60,22.423639
824.9,60,22.4503
467.4,60,22.478419
407.65,60,22.505209
-155.3,59,22.534478
734.7,60,22.558719
633.85,60,22.582818
593.8,60,22.609181
719.55,60,22.633499
185.65,60,22.6591
404.5,60,22.682861
607.65,60,22.707566
706.75,60,22.731348
573.15,60,22.755388
501.35,60,22.857759
733.85,60,22.884421
796.35,60,22.910966
632.0,60,22.938337
630.5,60,22.964981
795.45,60,22.991944
375.25,60,23.018054
276.75,60,23.046935
-162.15,18,23.054424
576.4,60,23.078588
812.45,60,23.103894
846.35,60,23.12826
787.6,60,23.153531
738.1,60,23.179838
346.65,60,23.20518
771.3,60,23.229572
84.3,60,23.253617
623.95,60,23.277369
893.35,60,23.384465
651.55,60,23.411238
708.5,60,23.439493
672.05,60,23.468449
243.8,60,23.49653
612.65,60,23.528079
-156.55,37,23.547123
320.85,60,23.572912
760.3,60,23.596826
651.85,60,23.621411
630.0,60,23.64531
677.05,60,23.671036
848.1,60,23.702033
478.15,60,23.725939
887.75,60,23.75048
474.95,60,23.776412
807.2,60,23.803399
861.7,60,23.909583
-154.05,49,23.93081
704.85,60,23.954493
100.55,60,23.979179
925.8,60,24.0086
-153.9,9,24.012814
830.75,60,24.039065
49.65,60,24.063051
503.4,60,24.089238
445.2,60,24.114854
624.5,60,24.138949
414.65,60,24.165425
642.2,60,24.192976
560.5,60,24.217189
703.25,60,24.241399
769.65,60,24.265564
499.3,60,24.289829
967.95,60,24.315677
519.7,60,24.432868
140.15,60,24.459178
758.45,60,24.486105
636.85,60,24.511511
135.9,60,24.536714
600.8,60,24.565614
-170.05,52,24.590246
417.3,60,24.620817
448.45,60,24.645987
-173.2,13,24.651476
1004.4,60,24.679076
590.1,60,24.706544
244.5,60,24.730651
145.5,60,24.754888
691.85,60,24.779767
573.0,60,24.803589
744.6,60,24.828798
597.85,60,24.853363
132.65,60,24.967979
588.7,60,24.996641
854.6,60,25.024936
602.55,60,25.053048
188.15,60,25.081742
631.3,60,25.111022
764.8,60,25.13781
966.1,60,25.165269
764.85,60,25.191299
943.5,60,25.216444
869.85,60,25.240552
-154.15,35,25.254305
600.95,60,25.279616
641.55,60,25.304187
685.7,60,25.328933
-169.9,34,25.345788
659.25,60,25.370976
-177.35,19,25.378746
117.5,60,25.404161
-153.8,11,25.40866
531.85,60,25.521405
760.5,60,25.54899
700.3,60,25.576585
693.55,60,25.603651
37.05,60,25.630442
608.6,60,25.657069
827.4,60,25.683959
682.85,60,25.710604
503.0,60,25.734427
589.7,60,25.760133
990.65,60,25.787595
745.25,60,25.814277
1105.2,60,25.842728
495.2,60,25.868956
985.6,60,25.897768
537.6,60,25.921843
538.95,60,25.947222
720.9,60,26.064362
750.9,60,26.093089
834.05,60,26.120943
868.55,60,26.148672
652.1,60,26.176746
718.0,60,26.204637
855.6,60,26.23143
870.65,60,26.256885
704.45,60,26.28073
696.9,60,26.308212
1085.35,60,26.34237
195.9,60,26.371824
565.75,60,26.400091
725.75,60,26.433606
810.0,60,26.46071
703.35,60,26.498666
596.15,60,26.524174
624.7,60,26.640647
809.3,60,26.668298
-164.35,16,26.67571
105.15,60,26.703223
563.45,60,26.730388
570.75,60,26.758332
1071.25,60,26.785221
497.15,60,26.815841
-175.5,6,26.818917
998.3,60,26.84406
591.15,60,26.868519
887.45,60,26.892687
987.25,60,26.921211
491.75,60,26.945547
912.1,60,26.971924
82.75,60,26.997153
723.3,60,27.029114
642.2,60,27.062778
773.5,60,27.09427
726.95,60,27.216236
468.05,60,27.241919
-16.0,60,27.267436
364.75,60,27.296479
23.9,60,27.32461
353.65,60,27.351921
735.3,60,27.380067
667.8,60,27.405928
370.7,60,27.432768
-120.75,60,27.461458
808.1,60,27.496092
798.05,60,27.529072
728.9,60,27.556787
38.2,60,27.584204
637.85,60,27.610295
-160.0,4,27.612253
335.4,60,27.639015
579.55,60,27.663389
713.85,60,27.781659
692.3,60,27.809899
476.1,60,27.8375
731.45,60,27.864923
729.5,60,27.891965
746.95,60,27.916713
864.25,60,27.942398
436.5,60,27.967836
747.15,60,27.991542
211.05,60,28.016747
375.6,60,28.040725
627.0,60,28.065973
-26.55,60,28.091149
406.2,60,28.122088
359.65,60,28.156136
957.6,60,28.181955
515.5,60,28.20769
356.75,60,28.333863
438.55,60,28.35889
712.2,60,28.385551
-172.5,7,28.388844
112.55,60,28.415555
643.65,60,28.442846
310.3,60,28.466886
702.4,60,28.490684
889.3,60,28.517338
915.75,60,28.541458
552.6,60,28.566475
831.55,60,28.590624
70.85,60,28.614895
869.6,60,28.640762
163.4,60,28.666319
645.55,60,28.691989
549.4,60,28.717496
285.15,60,28.743033
864.3,60,28.85928
686.45,60,28.886605
446.5,60,28.913553
472.7,60,28.940336
831.65,60,28.967196
135.15,60,28.99441
971.3,60,29.021879
852.4,60,29.047359
158.1,60,29.072374
580.45,60,29.097692
509.5,60,29.122952
-154.95,14,29.128765
959.55,60,29.152765
276.75,60,29.178315
628.2,60,29.203428
823.5,60,29.228313
698.15,60,29.252892
-154.3,40,29.270034
-167.6,46,29.379096
145.55,60,29.406318
795.4,60,29.434178
738.15,60,29.46234
704.55,60,29.490726
-87.95,60,29.519638
858.0,60,29.547214
85.25,60,29.573303
720.65,60,29.596965
840.75,60,29.621543
665.35,60,29.645325
848.85,60,29.671158
-171.25,41,29.687837
449.0,60,29.712906
-153.55,23,29.72223
305.4,60,29.747751
1062.0,60,29.77326
-162.7,32,29.785713
76.7,60,29.905202
398.1,60,29.931937
-163.35,5,29.934431
576.7,60,29.961195
656.25,60,29.985826
786.3,60,30.013605
570.25,60,30.038493
-152.0,55,30.062132
-157.25,17,30.069955
876.1,60,30.095014
242.3,60,30.119448
640.05,60,30.146764
585.25,60,30.176064
10.3,60,30.206408
479.75,60,30.230699
804.3,60,30.255011
816.15,60,30.279994
827.65,60,30.308025
736.1,60,30.339661
