#{"t_start": 1784588893.0132864, "env_id": "None"}
r,l,t
848.25,60,35.179189
679.55,60,35.214487
858.5,60,35.25016
1124.05,60,35.290994
707.5,60,35.327804
637.55,60,35.363301
741.85,60,35.409917
1078.3,60,35.450501
772.8,60,35.485127
1046.95,60,35.519636
915.25,60,35.554376
937.5,60,35.585186
811.0,60,35.61863
507.85,60,35.656213
1054.0,60,35.69789
627.75,60,35.731881
404.2,60,35.766205
799.25,60,35.796467
871.15,60,35.82705
934.9,60,35.858681
408.1,60,35.891921
635.75,60,35.924645
1028.95,60,35.955734
1089.05,60,35.98936
786.65,60,36.02594
377.45,60,36.060624
1004.35,60,36.095024
892.5,60,36.128346
985.25,60,36.166145
822.5,60,36.198761
943.55,60,36.233413
927.95,60,36.26884
978.9,60,36.303854
651.65,60,36.335495
776.85,60,36.368575
1031.4,60,36.403921
925.0,60,36.439156
628.95,60,36.475652
799.5,60,36.509953
400.85,60,36.543921
933.4,60,36.576594
827.75,60,36.609756
938.35,60,36.643804
1121.55,60,36.676939
874.05,60,36.710843
865.4,60,36.744963
1112.55,60,36.775295
1013.65,60,36.805902
1160.85,60,36.838082
1026.25,60,36.87292
559.8,60,36.906004
384.05,60,36.936093
960.6,60,36.968365
726.1,60,36.99911
1039.65,60,37.031378
989.3,60,37.065524
1111.75,60,37.099919
1034.05,60,37.133008
733.95,60,37.16786
402.15,60,37.205892
929.1,60,37.242491
815.5,60,37.279114
601.6,60,37.31187
796.75,60,37.348301
723.25,60,37.384527
887.75,60,37.419834
780.7,60,37.455456
523.8,60,37.491084
995.4,60,37.525107
708.55,60,37.561568
916.65,60,37.593538
704.5,60,37.633921
544.0,60,37.671324
982.6,60,37.708286
323.7,60,37.75028
872.45,60,37.791083
1056.8,60,37.825996
1253.2,60,37.857971
1109.75,60,37.893504
481.05,60,37.92912
770.5,60,37.964347
744.85,60,38.007085
331.55,60,38.044366
859.8,60,38.081908
974.95,60,38.121057
1041.9,60,38.163481
850.6,60,38.198237
692.35,60,38.232552
713.6,60,38.263961
680.1,60,38.298936
1005.45,60,38.334554
408.05,60,38.372707
628.75,60,38.407891
650.5,60,38.440094
932.2,60,38.473183
827.7,60,38.50839
539.9,60,38.541923
1048.7,60,38.573522
826.5,60,38.608044
1056.6,60,38.643245
817.2,60,38.673604
912.8,60,38.706266
833.55,60,38.743635
646.9,60,38.781691
390.85,60,38.817828
432.45,60,38.854941
233.65,60,38.891545
713.3,60,38.927544
759.2,60,38.964206
1016.55,60,39.025898
1006.5,60,39.063245
829.2,60,39.110808
-160.4,55,39.139707
-175.0,15,39.149699
860.6,60,39.187607
964.0,60,39.225753
954.55,60,39.268375
534.7,60,39.307311
918.4,60,39.342365
536.3,60,39.376191
933.8,60,39.409302
657.35,60,39.439205
792.75,60,42.176714
834.0,60,42.20855
993.9,60,42.240496
995.2,60,42.272274
863.65,60,42.302701
616.95,60,42.336185
425.65,60,42.371976
857.3,60,42.407328
885.95,60,42.442172
829.4,60,42.479219
863.6,60,42.511456
400.8,60,42.544835
1048.15,60,42.578831
1098.75,60,42.613476
775.55,60,42.668272
729.75,60,42.704489
887.8,60,42.740129
765.6,60,42.775293
665.7,60,42.811665
588.9,60,42.848643
874.2,60,42.887207
825.2,60,42.934356
761.7,60,42.978714
797.0,60,43.014154
756.1,60,43.048783
1126.4,60,43.091331
930.75,60,43.123164
710.05,60,43.159209
530.9,60,43.196301
916.55,60,43.232855
974.5,60,43.269593
904.25,60,43.304003
832.4,60,43.337561
965.3,60,43.396018
835.85,60,43.43084
776.7,60,43.467254
465.35,60,43.511166
703.25,60,43.547269
640.35,60,43.582475
730.7,60,43.617305
586.55,60,43.652092
887.45,60,43.688501
1025.0,60,43.723201
531.05,60,43.758114
780.75,60,43.801148
278.25,60,43.835837
843.3,60,43.876686
700.3,60,43.911727
1028.4,60,43.946721
991.85,60,43.980952
346.95,60,44.014893
999.1,60,44.04959
502.05,60,44.084873
911.95,60,44.121777
922.85,60,44.156911
931.45,60,44.194099
889.55,60,44.23317
1026.75,60,44.268631
649.15,60,44.304065
1042.7,60,44.338683
319.15,60,44.3734
532.9,60,44.408095
397.5,60,44.445581
977.8,60,44.486525
788.5,60,44.525093
1274.55,60,44.566818
797.6,60,44.60462
1007.9,60,44.64314
894.3,60,44.683935
996.65,60,44.725366
826.4,60,44.771977
843.0,60,44.814382
845.15,60,44.857997
919.35,60,44.897206
474.0,60,44.935358
1133.4,60,44.971277
770.15,60,45.01055
915.85,60,45.054181
418.4,60,45.09927
590.15,60,45.138468
864.5,60,45.176492
862.75,60,45.213816
695.6,60,45.26738
586.0,60,45.30333
912.1,60,45.338668
1158.25,60,45.376348
956.3,60,45.410954
531.2,60,45.451422
955.65,60,45.49027
978.95,60,45.52645
1047.05,60,45.563647
973.1,60,45.598116
1056.45,60,45.632781
654.3,60,45.667903
405.5,60,45.710603
949.15,60,45.746039
532.8,60,45.780947
1004.0,60,45.819573
586.6,60,45.855726
1042.85,60,45.893957
1039.55,60,45.929811
750.3,60,45.966077
1075.85,60,46.001922
872.75,60,46.04198
600.85,60,46.087554
907.75,60,46.130443
975.2,60,46.17266
567.15,60,46.209897
723.5,60,46.252817
785.65,60,46.28813
976.3,60,46.325069
670.8,60,46.365346
1044.0,60,46.40451
882.65,60,46.44069
601.25,60,46.482919
903.0,60,46.518625
805.15,60,46.559314
799.2,60,46.596915
689.3,60,46.633749
608.25,60,46.671427
1119.4,60,46.707483
896.15,60,46.742769
494.55,60,46.777276
1059.15,60,46.811703
963.6,60,46.846879
631.75,60,46.88151
756.5,60,46.916437
531.3,60,46.95342
1066.3,60,46.989221
917.0,60,47.026321
766.55,60,47.065405
710.85,60,47.101222
465.2,60,47.135647
1018.0,60,47.175041
1049.25,60,47.212737
945.15,60,47.247664
665.85,60,47.282568
825.3,60,47.319787
889.35,60,47.354776
862.4,60,47.38943
591.6,60,47.4279
907.3,60,47.463159
982.2,60,47.499384
917.9,60,47.53403
644.0,60,47.569074
799.95,60,47.603705
694.3,60,47.63883
768.1,60,47.673957
689.75,60,47.712191
862.2,60,47.746444
488.35,60,47.78375
553.65,60,47.820365
1006.1,60,47.857641
1076.1,60,47.898108
378.7,60,47.939728
823.5,60,47.981953
507.8,60,48.017065
1066.55,60,48.051913
971.85,60,48.087239
717.1,60,48.122272
523.7,60,48.157048
604.35,60,48.193235
746.9,60,48.228276
687.9,60,48.270092
651.1,60,48.305115
747.2,60,48.339866
530.55,60,48.374795
751.65,60,48.410036
476.15,60,48.44508
1030.2,60,48.481117
1047.0,60,48.516201
381.1,60,48.551518
801.15,60,48.586866
979.45,60,48.621883
588.9,60,48.657288
1000.1,60,48.695119
832.95,60,48.733512
876.25,60,48.773131
1094.75,60,48.807665
828.05,60,48.842979
737.05,60,48.880359
843.35,60,48.915887
404.95,60,48.950816
870.25,60,48.988145
553.85,60,49.027955
596.55,60,49.071258
1002.5,60,49.108359
657.6,60,49.145049
701.0,60,49.182917
694.1,60,49.221417
768.7,60,49.259818
828.2,60,49.29627
883.3,60,49.332541
597.85,60,49.368483
990.3,60,49.408857
459.25,60,49.446553
704.05,60,49.485115
953.3,60,49.52103
573.65,60,49.56742
1063.3,60,49.609455
589.4,60,49.644534
414.65,60,49.677976
780.8,60,49.723136
883.4,60,49.758396
596.9,60,49.794195
574.35,60,49.836803
697.85,60,49.872437
1117.7,60,49.91478
825.7,60,49.950965
975.95,60,49.989228
879.2,60,50.02758
917.45,60,50.077102
825.5,60,50.113133
895.1,60,50.148189
472.25,60,50.18482
1114.95,60,50.219822
989.95,60,50.254076
981.85,60,50.293152
919.4,60,50.329681
789.05,60,50.371285
1068.4,60,50.414682
1049.3,60,50.450938
622.2,60,50.48771
318.05,60,50.522377
399.8,60,50.558434
409.25,60,50.597117
714.05,60,50.63446
805.0,60,50.670228
425.4,60,50.708812
771.9,60,50.747689
612.1,60,50.783653
927.45,60,50.817416
880.45,60,50.852483
883.6,60,50.888784
617.45,60,50.924895
920.35,60,50.96349
831.8,60,50.994361
708.25,60,51.029482
763.05,60,51.064053
885.5,60,51.101155
1010.75,60,51.136325
770.95,60,51.169303
1131.25,60,51.204586
880.9,60,51.24262
1019.55,60,51.275235
774.9,60,51.312499
894.8,60,51.345145
444.55,60,51.384475
851.2,60,51.417667
906.0,60,51.44745
514.85,60,51.480344
817.6,60,51.518576
905.35,60,51.556393
936.2,60,51.590754
-183.9,8,51.595471
588.15,60,51.632116
360.3,60,51.669216
1009.5,60,51.703776
781.3,60,51.739284
780.25,60,51.77599
712.5,60,51.810043
809.75,60,51.847524
498.05,60,51.888512
649.1,60,51.920768
1005.35,60,51.952815
969.05,60,51.99211
861.35,60,52.026866
941.25,60,52.058362
983.5,60,52.095383
987.65,60,52.127959
803.1,60,52.16291
662.4,60,52.200159
585.95,60,52.233702
804.55,60,52.26931
900.9,60,52.302931
809.8,60,52.338331
751.3,60,52.372745
591.7,60,52.405756
1130.9,60,52.441268
706.7,60,52.476578
507.5,60,52.511157
1093.25,60,52.546719
851.0,60,52.582637
501.5,60,52.616924
854.65,60,52.652689
896.1,60,52.693172
1067.95,60,52.729682
760.3,60,52.764255
874.15,60,52.801497
980.05,60,52.837347
475.25,60,52.87296
852.3,60,52.9131
640.35,60,52.950362
865.6,60,52.987303
795.25,60,53.025157
1048.6,60,53.060337
498.4,60,53.0941
867.2,60,53.127992
1214.35,60,53.161197
974.8,60,53.202137
931.55,60,53.240169
798.8,60,53.277802
988.9,60,53.307793
921.9,60,53.342322
883.35,60,53.380411
788.85,60,53.418469
799.5,60,53.454435
796.65,60,53.492233
626.8,60,53.527636
740.0,60,53.560634
1111.7,60,53.597651
693.8,60,53.634672
1059.95,60,53.671235
599.6,60,53.707751
690.45,60,53.750279
692.0,60,53.790289
479.35,60,53.829255
705.95,60,53.866188
888.3,60,53.906847
490.1,60,53.951516
745.0,60,54.000387
495.0,60,54.043084
791.5,60,54.084902
1045.2,60,54.12534
849.2,60,54.169094
972.95,60,54.207316
1058.3,60,54.243128
654.75,60,54.280686
823.85,60,54.318965
736.35,60,54.354264
